Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
Pavarde5595163  Vardas6447407  3.92              3.80              
Pavarde5610647  Vardas2689121  4.40              4.40              
Pavarde5665472  Vardas5583968  3.68              4.40              
Pavarde5754105  Vardas9836655  3.84              3.80              
Pavarde5834188  Vardas2911332  5.04              4.60              
Pavarde5980113  Vardas5382124  3.48              3.40              
Pavarde5985461  Vardas7673756  3.28              3.20              
Pavarde6053714  Vardas4477771  4.04              3.80              
Pavarde6071176  Vardas7610594  2.68              2.40              
Pavarde6072359  Vardas5390711  3.88              4.20              
Pavarde6091303  Vardas2841600  3.20              3.20              
Pavarde6092256  Vardas770632   2.84              3.00              
Pavarde6094448  Vardas502126   4.16              4.40              
Pavarde6099497  Vardas4382787  4.00              4.00              
Pavarde6120938  Vardas5084867  4.72              4.20              
Pavarde6127309  Vardas6332255  3.96              3.60              
Pavarde6155767  Vardas3575333  3.44              3.60              
Pavarde6208081  Vardas5796527  3.44              4.00              
Pavarde6296477  Vardas1302425  2.84              3.00              
Pavarde6379235  Vardas8674724  5.08              4.80              
Pavarde6430313  Vardas32659    4.32              4.40              
Pavarde6438491  Vardas3241912  2.84              3.20              
Pavarde6470768  Vardas8101074  2.76              2.60              
Pavarde6543374  Vardas8075451  3.00              3.00              
Pavarde6559246  Vardas4409667  4.16              4.00              
Pavarde6573482  Vardas9423911  2.20              2.00              
Pavarde6579445  Vardas87240    3.28              3.20              
Pavarde6603076  Vardas312186   3.52              3.00              
Pavarde6620134  Vardas7306455  4.52              4.20              
Pavarde664768   Vardas7620937  3.24              2.80              
Pavarde6670668  Vardas1360028  3.48              3.60              
Pavarde6683576  Vardas9260885  4.96              4.60              
Pavarde6711076  Vardas6131557  4.36              4.80              
Pavarde6731218  Vardas2302576  2.96              2.80              
Pavarde6804719  Vardas7525667  4.48              4.00              
Pavarde6833412  Vardas3400842  4.08              4.00              
Pavarde7010090  Vardas5806066  3.04              2.60              
Pavarde7030304  Vardas3769690  5.12              4.80              
Pavarde7032437  Vardas5003986  4.20              4.80              
Pavarde7087927  Vardas8274658  2.64              2.20              
Pavarde7205488  Vardas3695510  3.32              3.20              
Pavarde7225748  Vardas4702841  2.72              2.40              
Pavarde7250978  Vardas1781574  3.08              2.80              
Pavarde7331185  Vardas334066   3.72              3.40              
Pavarde7380271  Vardas1882156  3.52              3.80              
Pavarde7426331  Vardas5157100  2.88              2.60              
Pavarde7432809  Vardas8260313  5.44              5.00              
Pavarde7457691  Vardas4543039  3.52              3.40              
Pavarde7468958  Vardas7102563  2.28              2.00              
Pavarde7524578  Vardas5832371  4.56              4.40              
Pavarde7535897  Vardas933911   4.88              4.20              
Pavarde7630964  Vardas5956018  3.52              3.40              
Pavarde764618   Vardas3726231  3.24              3.20              
Pavarde7712150  Vardas4132966  3.24              3.20              
Pavarde7745629  Vardas4476626  4.52              4.80              
Pavarde7775899  Vardas7809419  3.60              3.60              
Pavarde7844618  Vardas5903546  3.72              3.80              
Pavarde7875220  Vardas6741122  2.36              1.80              
Pavarde7904993  Vardas8626065  2.68              3.00              
Pavarde7927435  Vardas8797800  2.84              3.00              
Pavarde7951089  Vardas514939   3.52              3.60              
Pavarde7977166  Vardas1181053  3.88              4.40              
Pavarde8027701  Vardas4983842  2.92              3.00              
Pavarde8056622  Vardas9564942  4.52              4.80              
Pavarde806680   Vardas261701   4.36              4.20              
Pavarde8092399  Vardas8167112  2.24              2.60              
Pavarde8143462  Vardas5058654  2.72              2.80              
Pavarde8162545  Vardas9346362  3.84              3.80              
Pavarde8180617  Vardas2301998  3.40              3.20              
Pavarde8226471  Vardas9952193  4.56              4.40              
Pavarde8228799  Vardas8354029  3.32              3.40              
Pavarde828251   Vardas5161349  4.36              4.80              
Pavarde8283202  Vardas7651777  2.64              2.20              
Pavarde8498555  Vardas4822641  4.68              4.40              
Pavarde8540830  Vardas4852185  5.32              5.00              
Pavarde8677418  Vardas863699   2.76              2.60              
Pavarde880059   Vardas598120   4.96              4.80              
Pavarde8821653  Vardas5317659  2.64              2.20              
Pavarde8826774  Vardas4641712  4.60              4.40              
Pavarde8832259  Vardas8852555  2.84              2.60              
Pavarde8967382  Vardas9765435  2.92              2.80              
Pavarde8998578  Vardas700625   3.24              3.40              
Pavarde9053817  Vardas6706731  4.52              4.20              
Pavarde9059749  Vardas7341789  5.00              4.80              
Pavarde9095423  Vardas7658456  4.32              4.40              
Pavarde9307444  Vardas7760124  3.20              3.20              
Pavarde9397280  Vardas6289539  4.08              3.80              
Pavarde9405812  Vardas2951611  2.88              3.20              
Pavarde9419218  Vardas1778958  3.48              3.80              
Pavarde9449006  Vardas1475246  3.04              3.00              
Pavarde9477012  Vardas6636063  4.00              3.20              
Pavarde961120   Vardas2883543  3.72              4.00              
Pavarde9671765  Vardas197754   3.96              3.80              
Pavarde9675103  Vardas5197501  3.56              3.80              
Pavarde9754220  Vardas8841595  3.08              2.60              
Pavarde9754806  Vardas9464344  3.92              3.60              
Pavarde9869656  Vardas8984778  2.80              2.80              
Pavarde9969170  Vardas9010378  3.48              3.60              
