Vardas         Pavarde         Galutinis (Vid.)  Galutinis (Med.)
Vardas2481647  Pavarde1964887  8.80              9.00              
Vardas251071   Pavarde1018439  5.40              5.60              
Vardas2535449  Pavarde4861935  7.48              7.20              
Vardas2577893  Pavarde7440319  6.48              6.20              
Vardas258718   Pavarde1954315  6.16              6.20              
Vardas2615050  Pavarde383575   7.00              7.00              
Vardas2643624  Pavarde6537101  6.68              7.20              
Vardas2653833  Pavarde390621   5.80              6.00              
Vardas2654482  Pavarde3867661  8.32              8.60              
Vardas2673221  Pavarde4070426  6.04              6.40              
Vardas2677031  Pavarde2404476  5.12              5.20              
Vardas2680412  Pavarde2416132  7.32              7.00              
Vardas2702582  Pavarde9343246  7.80              7.80              
Vardas2747118  Pavarde5091671  5.48              5.20              
Vardas2809420  Pavarde1719647  5.56              5.20              
Vardas2911332  Pavarde5834188  5.04              4.60              
Vardas2945593  Pavarde8042161  6.68              6.80              
Vardas2952324  Pavarde8811838  8.04              8.20              
Vardas2966917  Pavarde784331   8.20              8.20              
Vardas2987448  Pavarde2513987  6.64              6.20              
Vardas3019786  Pavarde4902578  7.32              7.00              
Vardas3099782  Pavarde7747274  8.40              8.60              
Vardas3114774  Pavarde6361563  8.04              8.60              
Vardas3164552  Pavarde5818653  7.64              7.40              
Vardas3167334  Pavarde503371   7.84              8.20              
Vardas3220256  Pavarde6339611  5.96              6.20              
Vardas3244501  Pavarde5898766  6.84              7.00              
Vardas3246733  Pavarde8842986  7.32              7.80              
Vardas3376109  Pavarde3874548  6.68              6.40              
Vardas3387494  Pavarde5476201  7.40              7.60              
Vardas3412131  Pavarde4450356  8.16              8.20              
Vardas3502447  Pavarde2669091  7.88              8.20              
Vardas3642354  Pavarde250948   5.44              5.40              
Vardas3655400  Pavarde9636151  5.48              5.40              
Vardas3722189  Pavarde3463339  8.36              8.40              
Vardas3765607  Pavarde7895449  6.40              6.40              
Vardas3769130  Pavarde4987297  6.68              6.60              
Vardas3769690  Pavarde7030304  5.12              4.80              
Vardas3786799  Pavarde524141   8.00              8.00              
Vardas3808015  Pavarde4371317  7.72              7.80              
Vardas3929259  Pavarde8702570  5.92              6.20              
Vardas3935681  Pavarde7548718  5.00              5.00              
Vardas3967694  Pavarde2605471  6.16              6.20              
Vardas3981895  Pavarde1098394  7.76              7.20              
Vardas3989209  Pavarde5552427  7.12              7.00              
Vardas4094370  Pavarde6538756  8.16              8.20              
Vardas4108911  Pavarde5720869  5.60              5.40              
Vardas4118832  Pavarde8298741  5.40              5.60              
Vardas4137548  Pavarde4251214  7.96              8.20              
Vardas4144184  Pavarde5938685  5.72              6.00              
Vardas415452   Pavarde2282784  6.32              6.60              
Vardas4165850  Pavarde5543514  6.20              6.20              
Vardas4167302  Pavarde1544116  8.92              9.00              
Vardas4187372  Pavarde8419613  6.64              6.60              
Vardas4202365  Pavarde5668788  6.68              6.60              
Vardas4208215  Pavarde7371263  7.16              7.20              
Vardas421092   Pavarde7095816  6.44              6.80              
Vardas4232322  Pavarde4808919  8.16              8.60              
Vardas4264288  Pavarde2751426  7.24              7.80              
Vardas4313217  Pavarde829190   5.60              5.40              
Vardas434260   Pavarde6861925  5.76              6.20              
Vardas4392232  Pavarde5662265  6.08              5.80              
Vardas4395142  Pavarde9553548  6.24              6.20              
Vardas4397285  Pavarde230867   7.16              6.60              
Vardas4414725  Pavarde9436486  6.16              6.20              
Vardas4458274  Pavarde7480130  5.60              5.40              
Vardas4527057  Pavarde4222841  6.48              6.60              
Vardas4572619  Pavarde4192586  7.68              7.20              
Vardas458670   Pavarde6067831  6.92              6.80              
Vardas4710818  Pavarde1387496  8.28              8.20              
Vardas4741334  Pavarde6080293  7.84              7.60              
Vardas4791446  Pavarde837740   6.68              6.20              
Vardas4798995  Pavarde8617023  8.08              8.20              
Vardas4842966  Pavarde6263350  7.72              7.60              
Vardas4852185  Pavarde8540830  5.32              5.00              
Vardas4933526  Pavarde4055753  7.04              6.60              
Vardas4950870  Pavarde9765247  6.56              6.60              
Vardas4969843  Pavarde1744967  5.40              5.20              
Vardas4969972  Pavarde930338   5.60              5.60              
Vardas4984397  Pavarde6062249  5.16              5.60              
Vardas5065305  Pavarde8838440  7.60              7.60              
Vardas5087889  Pavarde314387   5.84              5.80              
Vardas5098296  Pavarde6198854  8.44              8.40              
Vardas5128747  Pavarde848091   7.12              7.00              
Vardas5220145  Pavarde2438916  5.56              5.60              
Vardas5344652  Pavarde4395527  8.16              8.20              
Vardas5345040  Pavarde1014184  7.16              7.20              
Vardas5389977  Pavarde1907421  5.36              5.00              
Vardas5408250  Pavarde4946495  6.12              7.00              
Vardas5414260  Pavarde6308995  5.68              5.40              
Vardas5426551  Pavarde8407655  5.28              5.00              
Vardas5431167  Pavarde5001773  6.32              6.20              
Vardas5450901  Pavarde704181   6.40              6.20              
Vardas5500113  Pavarde4300400  7.96              7.80              
Vardas5670038  Pavarde8838407  8.52              8.80              
Vardas569217   Pavarde7029059  7.56              7.80              
Vardas5726533  Pavarde5442212  7.52              7.80              
Vardas5727564  Pavarde4419717  5.64              6.00              
Vardas5735575  Pavarde5820047  5.92              5.80              
Vardas574431   Pavarde4716965  5.64              5.60              
Vardas5788618  Pavarde2516822  8.20              8.60              
Vardas5810962  Pavarde1444448  7.68              8.00              
Vardas5816345  Pavarde5355981  7.12              7.00              
Vardas5821315  Pavarde6837547  6.92              6.80              
Vardas5829796  Pavarde696632   6.28              5.80              
Vardas5880406  Pavarde6867     5.72              5.60              
Vardas5881215  Pavarde4358397  5.68              5.60              
Vardas5913175  Pavarde6545586  5.64              6.00              
Vardas5918304  Pavarde937658   7.40              7.20              
Vardas5934100  Pavarde2260290  6.64              6.40              
Vardas6072562  Pavarde8698125  5.72              5.60              
Vardas6197734  Pavarde2663090  7.80              8.00              
Vardas625536   Pavarde3408364  7.52              7.20              
Vardas626328   Pavarde8266235  8.08              8.40              
Vardas6281863  Pavarde9987537  6.56              6.60              
Vardas6333525  Pavarde1258845  6.04              5.80              
Vardas6341948  Pavarde6410030  7.88              7.60              
Vardas6412690  Pavarde6427864  7.92              7.80              
Vardas6436229  Pavarde3132218  5.04              5.40              
Vardas6438263  Pavarde7394099  6.40              6.40              
Vardas6458948  Pavarde4750814  7.24              7.20              
Vardas6499984  Pavarde2782026  7.12              7.00              
Vardas6540030  Pavarde779715   5.68              5.60              
Vardas6547200  Pavarde8714245  7.16              6.80              
Vardas6555842  Pavarde1053882  5.72              5.60              
Vardas6577547  Pavarde5344628  7.12              7.40              
Vardas6586947  Pavarde4732152  6.60              6.20              
Vardas6631862  Pavarde6479720  7.60              7.40              
Vardas6643441  Pavarde3725521  5.76              5.80              
Vardas6682866  Pavarde707755   7.64              7.20              
Vardas6761316  Pavarde756126   5.60              5.60              
Vardas6795716  Pavarde2434681  7.44              6.60              
Vardas687305   Pavarde9042901  6.60              6.00              
Vardas6882191  Pavarde1977866  5.56              5.20              
Vardas6913736  Pavarde8876949  7.12              7.20              
Vardas6948375  Pavarde5314415  5.16              5.20              
Vardas6957294  Pavarde3813869  5.68              5.80              
Vardas7021476  Pavarde5292646  7.52              7.40              
Vardas7060835  Pavarde4669403  7.84              7.80              
Vardas7182059  Pavarde9422468  7.68              7.60              
Vardas7270902  Pavarde5623536  5.00              5.00              
Vardas7273524  Pavarde4746559  8.04              8.20              
Vardas7288953  Pavarde8451789  5.64              6.20              
Vardas7298557  Pavarde1824766  6.12              6.40              
Vardas7320561  Pavarde1943959  5.88              6.00              
Vardas7332674  Pavarde3497177  6.20              6.40              
Vardas7397217  Pavarde2214635  7.28              7.80              
Vardas7418881  Pavarde584466   8.56              8.80              
Vardas7426008  Pavarde340824   6.16              6.20              
Vardas7486759  Pavarde568076   5.32              5.40              
Vardas756932   Pavarde1610692  7.48              7.40              
Vardas760140   Pavarde7635020  6.64              6.80              
Vardas7603478  Pavarde7500808  6.84              7.20              
Vardas7618438  Pavarde5043083  7.96              8.00              
Vardas7643538  Pavarde9683758  7.40              7.20              
Vardas7674927  Pavarde6706213  7.96              8.00              
Vardas7681823  Pavarde4814459  8.72              9.00              
Vardas7696228  Pavarde4191068  5.84              5.80              
Vardas7747388  Pavarde7582471  5.24              5.40              
Vardas7804105  Pavarde2342254  7.64              7.60              
Vardas7886581  Pavarde8204440  8.16              8.00              
Vardas7891587  Pavarde5760865  5.44              5.60              
Vardas7969497  Pavarde940365   5.28              5.20              
Vardas8032350  Pavarde5868003  6.64              6.60              
Vardas8036856  Pavarde7666118  8.08              7.80              
Vardas8090475  Pavarde7433082  7.44              7.40              
Vardas8147910  Pavarde2712842  5.28              5.20              
Vardas8185539  Pavarde5625972  5.12              5.60              
Vardas8193661  Pavarde935021   6.28              6.40              
Vardas8220173  Pavarde7485752  8.76              9.00              
Vardas822865   Pavarde4356373  6.76              6.80              
Vardas8232544  Pavarde8741953  5.72              5.40              
Vardas8260313  Pavarde7432809  5.44              5.00              
Vardas8285365  Pavarde4252944  5.76              6.20              
Vardas8295567  Pavarde3621692  8.04              8.40              
Vardas829860   Pavarde7268501  7.56              7.20              
Vardas8301599  Pavarde8447936  6.16              6.20              
Vardas8333690  Pavarde8016148  6.16              6.20              
Vardas8364407  Pavarde3893462  8.36              8.20              
Vardas8437131  Pavarde2092766  7.20              7.60              
Vardas844208   Pavarde106066   8.32              8.60              
Vardas8453210  Pavarde1815856  5.20              5.40              
Vardas8547987  Pavarde2775830  7.96              8.00              
Vardas8619504  Pavarde1566869  7.80              8.00              
Vardas8674724  Pavarde6379235  5.08              4.80              
Vardas8684778  Pavarde7068823  8.24              8.40              
Vardas8709519  Pavarde6314771  6.40              6.60              
Vardas8753264  Pavarde9281585  7.80              7.60              
Vardas8832913  Pavarde236316   5.76              5.80              
Vardas8844846  Pavarde5410802  5.32              5.40              
Vardas8856021  Pavarde138505   5.40              5.40              
Vardas8877792  Pavarde3174696  6.92              7.00              
Vardas8894736  Pavarde406368   7.72              8.00              
Vardas8948747  Pavarde4696389  6.84              6.60              
Vardas8969886  Pavarde6460955  6.32              5.80              
Vardas8988973  Pavarde580607   6.64              6.40              
Vardas8992229  Pavarde8908104  6.04              5.80              
Vardas9101421  Pavarde9319074  7.20              7.40              
Vardas9157312  Pavarde6916130  7.48              7.40              
Vardas916278   Pavarde9181065  7.32              7.40              
Vardas9213040  Pavarde6522347  5.16              5.40              
Vardas9304635  Pavarde8997400  8.44              9.00              
Vardas9304703  Pavarde8235544  7.84              7.60              
Vardas9313801  Pavarde4312544  7.44              7.40              
Vardas9381134  Pavarde8562773  8.32              8.40              
Vardas9382432  Pavarde2629998  7.48              7.20              
Vardas9397448  Pavarde9216615  6.84              7.20              
Vardas9399589  Pavarde7628600  7.28              7.20              
Vardas942238   Pavarde538577   6.56              6.40              
Vardas9445430  Pavarde3621874  5.56              5.20              
Vardas9451676  Pavarde2649375  7.52              7.60              
Vardas9509601  Pavarde7420350  7.80              8.20              
Vardas9517711  Pavarde5567493  5.56              5.60              
Vardas9536223  Pavarde9227636  7.44              7.60              
Vardas9638835  Pavarde499710   6.96              7.20              
Vardas9674841  Pavarde9753452  6.04              5.40              
Vardas971180   Pavarde3286317  8.52              8.60              
Vardas9801055  Pavarde6268059  5.36              5.40              
Vardas9813467  Pavarde3508802  8.44              8.40              
Vardas9816331  Pavarde9426622  7.72              7.80              
Vardas9910647  Pavarde7411686  7.92              8.40              
Vardas9958100  Pavarde2529992  5.68              5.40              
Vardas9998943  Pavarde9018305  7.92              8.00              
