Vardas         Pavarde         Galutinis (Vid.)  Galutinis (Med.)
Vardas38945    Pavarde4221425  3.48              3.40              
Vardas3923302  Pavarde3545600  3.88              4.20              
Vardas395514   Pavarde2924709  4.88              5.20              
Vardas40532    Pavarde2220687  3.80              3.80              
Vardas4132966  Pavarde7712150  3.24              3.20              
Vardas4161351  Pavarde1880311  4.68              4.60              
Vardas4172597  Pavarde3078735  4.84              4.80              
Vardas4183132  Pavarde1548371  3.32              3.40              
Vardas4211717  Pavarde5279679  4.04              4.20              
Vardas4318397  Pavarde4842856  3.16              3.60              
Vardas4382787  Pavarde6099497  4.00              4.00              
Vardas4409667  Pavarde6559246  4.16              4.00              
Vardas4476626  Pavarde7745629  4.52              4.80              
Vardas4477771  Pavarde6053714  4.04              3.80              
Vardas4543039  Pavarde7457691  3.52              3.40              
Vardas4641712  Pavarde8826774  4.60              4.40              
Vardas4680888  Pavarde1429687  4.32              4.40              
Vardas469925   Pavarde3067205  3.32              3.40              
Vardas4702841  Pavarde7225748  2.72              2.40              
Vardas4763620  Pavarde1693784  2.60              2.40              
Vardas4822641  Pavarde8498555  4.68              4.40              
Vardas4850201  Pavarde4168090  4.84              5.20              
Vardas4891865  Pavarde2179692  3.00              3.20              
Vardas4983842  Pavarde8027701  2.92              3.00              
Vardas5003986  Pavarde7032437  4.20              4.80              
Vardas502126   Pavarde6094448  4.16              4.40              
Vardas5050402  Pavarde330739   4.32              4.60              
Vardas5058654  Pavarde8143462  2.72              2.80              
Vardas5084867  Pavarde6120938  4.72              4.20              
Vardas514939   Pavarde7951089  3.52              3.60              
Vardas5157100  Pavarde7426331  2.88              2.60              
Vardas5161349  Pavarde828251   4.36              4.80              
Vardas5197501  Pavarde9675103  3.56              3.80              
Vardas5203721  Pavarde416169   4.96              5.20              
Vardas5314117  Pavarde3353825  2.92              3.00              
Vardas5317659  Pavarde8821653  2.64              2.20              
Vardas5382124  Pavarde5980113  3.48              3.40              
Vardas5390711  Pavarde6072359  3.88              4.20              
Vardas5405334  Pavarde3659141  3.52              3.60              
Vardas541308   Pavarde557566   2.68              2.20              
Vardas5492319  Pavarde3645657  3.16              2.80              
Vardas5513111  Pavarde3689505  2.12              1.80              
Vardas5583968  Pavarde5665472  3.68              4.40              
Vardas5772059  Pavarde2180082  4.00              4.20              
Vardas5796527  Pavarde6208081  3.44              4.00              
Vardas5806066  Pavarde7010090  3.04              2.60              
Vardas5832371  Pavarde7524578  4.56              4.40              
Vardas5903546  Pavarde7844618  3.72              3.80              
Vardas5956018  Pavarde7630964  3.52              3.40              
Vardas598120   Pavarde880059   4.96              4.80              
Vardas6131557  Pavarde6711076  4.36              4.80              
Vardas6289539  Pavarde9397280  4.08              3.80              
Vardas6310763  Pavarde4827125  4.64              4.80              
Vardas6332255  Pavarde6127309  3.96              3.60              
Vardas6447407  Pavarde5595163  3.92              3.80              
Vardas6590130  Pavarde3601325  2.76              2.60              
Vardas6636063  Pavarde9477012  4.00              3.20              
Vardas6676236  Pavarde32424    4.24              4.40              
Vardas6696551  Pavarde5257141  3.92              4.00              
Vardas6706731  Pavarde9053817  4.52              4.20              
Vardas6741122  Pavarde7875220  2.36              1.80              
Vardas6766132  Pavarde4062250  4.64              5.00              
Vardas6774965  Pavarde2225920  3.32              3.40              
Vardas6796364  Pavarde2264243  3.28              3.60              
Vardas6907852  Pavarde2256504  4.12              4.00              
Vardas700625   Pavarde8998578  3.24              3.40              
Vardas7012770  Pavarde1410768  4.88              5.00              
Vardas7058793  Pavarde2534146  3.28              3.40              
Vardas7073650  Pavarde4787092  4.64              5.00              
Vardas7102563  Pavarde7468958  2.28              2.00              
Vardas7133013  Pavarde2202001  3.24              3.40              
Vardas7164423  Pavarde696387   4.96              5.20              
Vardas7306455  Pavarde6620134  4.52              4.20              
Vardas7341789  Pavarde9059749  5.00              4.80              
Vardas7348251  Pavarde3312223  3.32              3.80              
Vardas7410143  Pavarde5379239  2.80              3.00              
Vardas7525667  Pavarde6804719  4.48              4.00              
Vardas7610594  Pavarde6071176  2.68              2.40              
Vardas7620937  Pavarde664768   3.24              2.80              
Vardas7651777  Pavarde8283202  2.64              2.20              
Vardas7658456  Pavarde9095423  4.32              4.40              
Vardas7673756  Pavarde5985461  3.28              3.20              
Vardas770632   Pavarde6092256  2.84              3.00              
Vardas7759832  Pavarde3848640  4.88              4.80              
Vardas7760124  Pavarde9307444  3.20              3.20              
Vardas7781887  Pavarde1635679  4.40              4.20              
Vardas780921   Pavarde3421044  4.40              4.20              
Vardas7809419  Pavarde7775899  3.60              3.60              
Vardas7891966  Pavarde3425648  3.40              3.20              
Vardas7927114  Pavarde1538069  3.24              3.40              
Vardas7989523  Pavarde3813395  3.56              3.60              
Vardas8012038  Pavarde4162121  4.52              4.80              
Vardas8033128  Pavarde2491565  3.32              3.20              
Vardas8042973  Pavarde3150436  3.24              3.40              
Vardas8075451  Pavarde6543374  3.00              3.00              
Vardas8101074  Pavarde6470768  2.76              2.60              
Vardas8114870  Pavarde2858326  4.60              4.80              
Vardas8144938  Pavarde1619584  4.12              3.80              
Vardas8167112  Pavarde8092399  2.24              2.60              
Vardas8204947  Pavarde5089678  3.12              3.00              
Vardas8274658  Pavarde7087927  2.64              2.20              
Vardas8354029  Pavarde8228799  3.32              3.40              
Vardas8564359  Pavarde3335248  4.48              4.60              
Vardas8626065  Pavarde7904993  2.68              3.00              
Vardas863699   Pavarde8677418  2.76              2.60              
Vardas87240    Pavarde6579445  3.28              3.20              
Vardas8797800  Pavarde7927435  2.84              3.00              
Vardas8841595  Pavarde9754220  3.08              2.60              
Vardas8852555  Pavarde8832259  2.84              2.60              
Vardas8984778  Pavarde9869656  2.80              2.80              
Vardas900792   Pavarde2732109  3.96              4.20              
Vardas9010378  Pavarde9969170  3.48              3.60              
Vardas9021118  Pavarde3010690  2.68              2.40              
Vardas913493   Pavarde3528830  3.08              3.00              
Vardas9153814  Pavarde2051627  4.52              4.40              
Vardas9155630  Pavarde2961819  2.52              2.00              
Vardas9260885  Pavarde6683576  4.96              4.60              
Vardas933911   Pavarde7535897  4.88              4.20              
Vardas9346362  Pavarde8162545  3.84              3.80              
Vardas9382252  Pavarde3241229  3.32              3.60              
Vardas9384418  Pavarde4780393  4.20              4.20              
Vardas938993   Pavarde51820    2.96              3.00              
Vardas9423911  Pavarde6573482  2.20              2.00              
Vardas9464344  Pavarde9754806  3.92              3.60              
Vardas9564942  Pavarde8056622  4.52              4.80              
Vardas9704916  Pavarde4388025  2.00              1.60              
Vardas9765435  Pavarde8967382  2.92              2.80              
Vardas9808898  Pavarde2366110  3.84              3.40              
Vardas9836655  Pavarde5754105  3.84              3.80              
Vardas9952193  Pavarde8226471  4.56              4.40              
